FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:timeInfo_deltaTime_estFilter,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:timeInfo_deltaTime_estFilter
02/20/26 19:48:13.916921344,0.01
02/20/26 19:48:13.926839808,0.01
02/20/26 19:48:13.936748288,0.01
02/20/26 19:48:13.946647296,0.01
02/20/26 19:48:13.956536320,0.01
02/20/26 19:48:13.966652928,0.01
02/20/26 19:48:13.976759808,0.01
02/20/26 19:48:13.986856448,0.01
02/20/26 19:48:13.996943104,0.01
02/20/26 19:48:14.007020032,0.01
02/20/26 19:48:14.017086720,0.01
02/20/26 19:48:14.027143936,0.01
02/20/26 19:48:14.037190912,0.01
02/20/26 19:48:14.047227904,0.01
02/20/26 19:48:14.057254912,0.01
02/20/26 19:48:14.067271936,0.01
02/20/26 19:48:14.077279232,0.01
02/20/26 19:48:14.087276288,0.01
02/20/26 19:48:14.097263872,0.01
02/20/26 19:48:14.107241216,0.01
02/20/26 19:48:14.117208832,0.01
02/20/26 19:48:14.127166720,0.01
02/20/26 19:48:14.137114624,0.01
02/20/26 19:48:14.147052288,0.01
02/20/26 19:48:14.156980224,0.01
02/20/26 19:48:14.166898432,0.01
02/20/26 19:48:14.176807168,0.01
02/20/26 19:48:14.186706176,0.01
02/20/26 19:48:14.196595200,0.01
02/20/26 19:48:14.206711552,0.01
02/20/26 19:48:14.216818176,0.01
02/20/26 19:48:14.226914560,0.01
02/20/26 19:48:14.237001216,0.01
02/20/26 19:48:14.247078144,0.01
02/20/26 19:48:14.257145088,0.01
02/20/26 19:48:14.267202304,0.01
02/20/26 19:48:14.277249792,0.01
02/20/26 19:48:14.287287040,0.01
