Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773414804833885952,-7.99022654973669e-06,-2.633136136864778e-05,-0.009954928420484066,1.812130562939274e-06,-1.45978390264645e-06,8.898571650206577e-06
1773414804843747584,-3.058543825318338e-06,-1.914999302243814e-05,-0.009954133071005344,-4.223558335070265e-06,2.249568524348433e-06,6.045770987839205e-06
1773414804853515264,3.953098257625243e-06,-2.003691224672366e-05,-0.009961224161088467,2.533620772737777e-06,8.553605766792316e-06,4.514015017775819e-06
1773414804863188480,1.423555318069702e-06,-2.890444193326402e-05,-0.0099514564499259,-1.231571445714508e-06,-3.236378915971727e-06,4.821670700039249e-06
1773414804873344000,3.347866822878132e-06,-2.292693898198195e-05,-0.009960838593542576,-3.020315489266068e-06,-5.034753030486172e-06,8.069361570051115e-07
1773414804883648256,-6.871522145956988e-06,-2.488253812771291e-05,-0.009960345923900604,1.168396934758675e-07,2.254877244922682e-06,-2.741664957284229e-07
1773414804893857536,-6.657355697825551e-06,-2.417337054794189e-05,-0.009973624721169472,-1.199348048430693e-06,3.830485866274103e-07,-1.467978677283099e-06
1773414804903970560,-1.77635138243204e-06,-2.102186772390269e-05,-0.009949122555553913,-5.310124379320769e-06,-8.418021479883464e-07,3.732242532805685e-07
1773414804913985280,-5.598940788331674e-06,-2.075570409942884e-05,-0.009958302602171898,1.619427962396003e-06,-1.529846599623852e-06,-3.7431993860082e-07
1773414804923904512,1.334005901298951e-06,-2.749312443484087e-05,-0.00997514184564352,-2.495408580216463e-06,-2.706044824662968e-06,2.351459670535405e-06
1773414804933729536,2.180144974772702e-06,-1.690382123342715e-05,-0.009945153258740902,-5.610909738607006e-06,-1.708578679426864e-06,3.14205703944026e-06
1773414804943459328,-7.548059102191473e-07,-2.442049299133942e-05,-0.009984413161873817,-4.763648576044943e-06,-2.666962700459408e-06,7.472790002793772e-06
1773414804953099520,-5.561545094678877e-06,-2.613360265968367e-05,-0.009947700425982475,1.992181296373019e-06,4.116715444979491e-06,7.071570507832803e-06
1773414804963465728,-6.176044280437054e-07,-1.89241054613376e-05,-0.00996730849146843,6.907072929607239e-06,-4.316182184993522e-06,-2.603698931125109e-06
1773414804973733120,-7.882224963395856e-06,-2.785193100862671e-05,-0.009954800829291344,4.22938819610863e-06,-8.934857191889023e-07,6.037838602424017e-07
1773414804983908096,-4.032022388855694e-06,-2.194090848206542e-05,-0.009962093085050583,1.282527136936551e-06,-5.069583494332619e-06,5.783627329947194e-06
