Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773412384238935296,3.043704964511562e-06,-6.422551450668834e-06,8.945635840973409e-07,-2.678664259292418e-06,-2.108384796883911e-05,-0.009954899549484253
1773412384248976640,9.516919590168982e-07,1.72994123204262e-06,1.192615400213981e-06,-3.329434775878326e-06,-2.0514678908512e-05,-0.009966521523892879
1773412384258922240,-2.149141892004991e-06,4.479675226320978e-07,5.262998911348404e-06,1.851180286394083e-06,-2.036592559306882e-05,-0.009955490007996559
1773412384268772096,1.048689796334656e-06,-6.057943664927734e-06,2.521744590922026e-06,-3.670447199510818e-07,-1.844468715717085e-05,-0.00995706208050251
1773412384278526464,-7.724782449258782e-07,3.183193086897518e-08,1.282316929973604e-06,-3.396193733351538e-06,-2.016767393797636e-05,-0.009959611110389233
1773412384288185600,-4.930463092023274e-06,-1.782110985004692e-06,1.480642822571099e-06,2.002709152293392e-06,-1.662253998802043e-05,-0.009963377378880978
1773412384298411520,5.826094024996564e-07,-5.473154033097671e-06,9.859749070528778e-07,5.424017217592336e-06,-2.056375524261966e-05,-0.009969627484679222
1773412384308703488,9.117273293668404e-06,-2.233438408438815e-06,9.409295103068871e-07,-2.353300033064443e-06,-2.038713137153536e-05,-0.009952840395271778
1773412384318896128,-5.421778951131273e-06,-3.486792820694973e-06,5.162422439752845e-06,2.25271423914819e-06,-1.607180456630886e-05,-0.00996136199682951
1773412384328990720,-2.649604766702396e-06,-8.674077434989158e-06,2.382056436545099e-06,-2.579046167738852e-07,-1.954049730557017e-05,-0.009961724281311035
1773412384338992384,1.322046273344313e-06,-4.725483506717865e-07,1.273494603992731e-06,7.818409244464419e-07,-1.959678047569469e-05,-0.009965144097805023
1773412384348897280,-4.33566947322106e-06,1.012593656923855e-06,8.605263246863615e-06,2.408462194125605e-07,-1.615797191334423e-05,-0.009960006922483444
1773412384358706432,1.025446408675634e-06,-1.808368210731714e-06,-3.713741136834869e-07,3.589072548493277e-06,-1.307729417021619e-05,-0.009956846013665199
1773412384368420864,2.301537733728765e-06,1.036311232383014e-06,9.92650802800199e-06,3.3873377560667e-06,-2.027864684350789e-05,-0.009964106604456902
1773412384378125056,1.91348158296023e-06,-2.051340516118216e-06,2.128721007466083e-06,5.64295305593987e-06,-1.883835830085445e-05,-0.009947776794433594
1773412384388479488,6.897021762597433e-07,3.898850081895944e-06,-1.246131660082028e-06,3.779948201554362e-06,-1.876930400612764e-05,-0.009959164075553417
1773412384398736384,3.675061407193425e-06,-6.224161552381702e-06,6.210651690707891e-07,1.157225597125944e-06,-2.227984805358574e-05,-0.009959088638424873
1773412384408896000,-4.995857580070151e-06,-1.458450356039975e-06,2.693646138141048e-06,-6.952524245207314e-07,-1.522988895885646e-05,-0.009966088458895683
1773412384418956288,1.712415723886807e-06,-3.483720320218708e-06,3.429903927099076e-06,6.383130539688864e-07,-1.86413963092491e-05,-0.009962761774659157
1773412384428924160,7.523578915424878e-06,-1.39821474931523e-06,2.44975603891362e-06,-2.842369440259063e-06,-2.055129698419478e-05,-0.009950577281415462
1773412384438792192,-4.276868367014686e-06,7.299325375242915e-07,2.387881067988928e-06,-3.664715677587083e-06,-1.988279836950824e-05,-0.009968249127268791
1773412384448564224,-9.339111784356646e-06,-4.189846094959648e-06,3.103785047642305e-06,2.395390765741467e-07,-1.621211231395137e-05,-0.009955747053027153
1773412384458252288,-7.273043593158945e-06,-4.1952334868256e-06,7.843733328627422e-06,-2.703024847505731e-06,-1.487059762439458e-05,-0.009970221668481827
1773412384468338176,-1.262264163415239e-06,-6.574833150807535e-06,2.463696318955044e-06,-1.034389470078168e-06,-1.872259599622339e-05,-0.009966865181922913
1773412384478653696,-4.302529305277858e-06,-3.504660526232328e-06,4.809193796972977e-06,3.083893261646153e-06,-1.592142507433891e-05,-0.009956773370504379
1773412384488871936,4.398337296152022e-06,-1.365816387988161e-06,3.817591277766041e-06,9.889930652207113e-07,-2.254252649436239e-05,-0.0099576311185956
1773412384498993920,-3.243385208406835e-06,-2.521542910471908e-06,3.046535539397155e-06,2.462429165461799e-06,-2.069149559247307e-05,-0.009951022453606129
1773412384509018624,3.046310894205817e-06,-1.095935658668168e-05,-1.85822204912256e-06,-2.805664280458586e-06,-1.792352668417152e-05,-0.009970259852707386
1773412384518960896,-1.073164185072528e-06,-7.653902684978675e-06,-5.460786724142963e-06,-4.356664362603624e-08,-1.684338167251553e-05,-0.009959444403648376
1773412384528803072,7.211810384433193e-07,2.764287273748778e-06,2.610291858218261e-06,2.272575102324481e-06,-1.775651981006376e-05,-0.009963399730622768
1773412384538556416,-4.593027369992342e-06,-5.781515000080617e-08,-1.659309759816097e-06,4.918467197967402e-07,-2.424770354991779e-05,-0.009962741285562515
1773412384548217600,6.00358248448174e-07,-5.319308456819272e-06,-1.204918248731701e-06,2.204306383646326e-06,-2.054457036138047e-05,-0.009952685795724392
1773412384558592256,-8.195307600544766e-06,-3.780583256229875e-06,2.919004828072502e-06,4.524399173533311e-06,-2.043028689513449e-05,-0.009964371100068092
1773412384568870144,-3.072853132835007e-06,-5.809717549709603e-06,1.007647733786143e-05,-1.458305973756069e-06,-1.862333192548249e-05,-0.00995313934981823
1773412384579051520,1.576913405187952e-06,-2.928750291175675e-06,6.464920261350926e-07,7.791255143274611e-07,-1.365942625852767e-05,-0.009970104321837425
1773412384589136640,3.683127715703449e-06,2.090440148094785e-06,4.779692972078919e-06,3.738201030500932e-06,-2.007498733291868e-05,-0.009960540570318699
1773412384599124224,-2.676679514479474e-06,-7.445000846928451e-06,1.823361230890441e-06,-4.68958160126931e-06,-1.585120116942562e-05,-0.009955224581062794
1773412384609023744,-2.73082019219828e-08,-4.979500772606116e-06,2.059847247437574e-06,-4.857212843489833e-06,-2.018245868384838e-05,-0.009962171316146851
1773412384618819328,-3.664774794742698e-06,-1.594214467104393e-07,1.077132765203714e-06,5.264826086204266e-06,-1.611803236301057e-05,-0.009959177114069462
1773412384628525056,1.197175492961833e-06,1.487080226070248e-06,3.203937922080513e-06,2.72098168352386e-06,-2.097592914651614e-05,-0.009965245611965656
1773412384638302976,-7.735161489108577e-06,4.054805231135106e-06,3.235337828755291e-07,1.971529854927212e-06,-1.998616608034354e-05,-0.009953949600458145
1773412384648638976,5.015296665078495e-06,-3.963203653256642e-06,1.699042741165613e-06,-1.065755895979237e-06,-1.819270255509764e-05,-0.009964771568775177
1773412384658877184,7.554511739726877e-06,-5.580794777415576e-07,5.143958787812153e-06,1.316881025559269e-06,-2.145782855222933e-05,-0.009955309331417084
1773412384669019392,3.931440915039275e-06,-3.639901706264936e-06,1.434726300431066e-06,-1.241087261405482e-06,-1.68348487932235e-05,-0.009954808279871941
1773412384679065600,-3.941601107726456e-07,-3.707946689246455e-06,3.718472044056398e-06,-6.147811291157268e-07,-1.799922574718948e-05,-0.00996659230440855
1773412384689015296,-4.380798088732263e-07,2.379678335273638e-06,-2.540165269238059e-06,3.905615812982433e-06,-2.143362507922575e-05,-0.009956732392311096
1773412384698895104,2.626370132929878e-06,-2.925110038631829e-06,1.693470039754175e-06,-2.103374299622374e-06,-1.579483978275675e-05,-0.009970216080546379
1773412384708657152,5.023985067964531e-06,-3.646656807632098e-07,-1.786929033187334e-06,-3.422544523346005e-07,-1.811636320780963e-05,-0.009952172636985779
1773412384718328064,1.736487661219144e-06,-5.973375664325431e-06,-7.773159609314462e-07,8.473915613649297e-07,-1.882285505416803e-05,-0.009959222748875618
1773412384728478208,7.271292361110682e-06,-5.23061180501827e-06,2.964780833281111e-06,9.284497082262533e-07,-1.908175181597471e-05,-0.009957934729754925
1773412384738773248,-3.015121876615012e-07,1.647654585212877e-06,7.474036465282552e-06,-1.226935495424186e-07,-1.601442090759519e-05,-0.009960870258510113
1773412384748968960,1.056131281984563e-06,-6.650569957855623e-06,6.216091037458682e-07,-1.886940253825742e-06,-1.894168781291228e-05,-0.009966889396309853
1773412384759066880,3.901579475495964e-06,-1.617755629013118e-06,-3.080968781432603e-06,1.833658188843401e-06,-1.713788151391782e-05,-0.009954016655683517
1773412384769066496,9.202912565342558e-07,3.889858362526866e-06,3.020297754119383e-06,2.165320211133803e-06,-1.907934347400442e-05,-0.009967529214918613
