FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/12/26 20:13:44.584119808
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:deltaThetaX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
24.048164368,-0.01170630846172571,0.003385257907211781,0.00811974611133337,-0.00210623093880713,0.008016449399292469,-0.006190496031194925
24.058523178,-0.010614606551826,0.003598963608965278,0.008558428846299648,-0.001858060830272734,0.008379267528653145,-0.006342907901853323
24.068786621,-0.01057538297027349,0.003522797022014856,0.008681345731019974,-0.00179208826739341,0.008282361552119255,-0.006873857229948044
24.078952789,-0.01228644140064716,0.002832709578797221,0.009215431287884712,-0.001606176607310772,0.007821270264685154,-0.007292976602911949
24.089019775,-0.01483498699963093,0.001157998689450324,0.01042617484927177,-0.001391569268889725,0.007674057967960835,-0.007323459256440401
24.098989487,-0.01731590926647186,-0.001005762605927885,0.01145170722156763,-0.00100093032233417,0.007598715834319592,-0.006879960186779499
24.108863831,-0.01917456835508347,-0.003397403750568628,0.01270412746816874,-0.0004662714200094342,0.007961206138134003,-0.006098161451518536
24.118638992,-0.01977759227156639,-0.005775549914687872,0.01342658884823322,-8.755639282753691e-05,0.008341411128640175,-0.005269600078463554
24.128318787,-0.01832349225878716,-0.008002928458154202,0.01315057277679443,0.0001505231630289927,0.009057878516614437,-0.004607513081282377
24.138242722,-0.0158318318426609,-0.01015201304107904,0.012226358987391,0.0003540613106451929,0.009492261335253716,-0.00435502827167511
24.148563385,-0.01363096572458744,-0.01279352139681578,0.01130484323948622,0.0005609189975075424,0.00925514567643404,-0.004435458220541477
24.158792496,-0.01240456383675337,-0.01642615720629692,0.01050851866602898,0.0008452711626887321,0.008985734544694424,-0.00452501093968749
24.168918610,-0.01162988413125277,-0.02105843834578991,0.0097374077886343,0.001208537141792476,0.00894557312130928,-0.004463069140911102
24.178949356,-0.01039887312799692,-0.02649814635515213,0.008814508095383644,0.001710585784167051,0.009030399844050407,-0.004253020975738764
24.188886642,-0.009305102750658989,-0.03276992216706276,0.007106226403266191,0.002177642192691565,0.009091540239751339,-0.003914171829819679
24.198728561,-0.00834205187857151,-0.03982787579298019,0.004128689877688885,0.002465410390868783,0.009117363020777702,-0.003610596526414156
24.208473206,-0.00724523514509201,-0.04690961912274361,0.0003773996722884476,0.002440150827169418,0.009260356426239014,-0.003484841668978333
24.218141556,-0.006983003579080105,-0.05340289697051048,-0.002982855308800936,0.002025343710556626,0.009111618623137474,-0.003625242970883846
24.228445053,-0.00784832239151001,-0.05990011990070343,-0.00593986501917243,0.001418308122083545,0.008700022473931313,-0.003799761412665248
24.238731384,-0.009697002358734608,-0.06676850467920303,-0.007883349433541298,0.0008600603323429823,0.008341667242348194,-0.003735099686309695
24.248928070,-0.01147029269486666,-0.07361546158790588,-0.008227063342928886,0.0004725296457763761,0.008232051506638527,-0.003334564855322242
24.259029388,-0.01235693320631981,-0.07962103188037872,-0.007741367444396019,1.366784363199258e-05,0.008451249450445175,-0.002653541509062052
24.269033432,-0.01222967077046633,-0.08440464735031128,-0.007838943973183632,-0.0005260879406705499,0.008736047893762589,-0.001928574871271849
24.278945923,-0.01170528121292591,-0.08694503456354141,-0.00846047792583704,-0.001272687804885209,0.008956599980592728,-0.001191894873045385
24.288761139,-0.01168431434780359,-0.08592157065868378,-0.008973290212452412,-0.002502482384443283,0.009123394265770912,-0.0005563946906477213
24.298482895,-0.01299706194549799,-0.08188381791114807,-0.01071910094469786,-0.003443798748776317,0.009480182081460953,-1.498619985795813e-05
24.308202744,-0.01384559273719788,-0.07615353912115097,-0.01165473647415638,-0.00398581475019455,0.009058371186256409,0.0003964743518736213
24.318550110,-0.01359199732542038,-0.06963237375020981,-0.01090686302632093,-0.004622926935553551,0.008615990169346333,0.00085693463915959
24.328802109,-0.01316683553159237,-0.06277262419462204,-0.009213623590767384,-0.005066681653261185,0.008316135965287685,0.001287016086280346
24.338956833,-0.01149435993283987,-0.05502926930785179,-0.005687354132533073,-0.005732021760195494,0.007858726195991039,0.001834924565628171
24.349020004,-0.009680140763521194,-0.04615645855665207,-0.002269610995426774,-0.006008220836520195,0.008082414045929909,0.002318704966455698
24.358993530,-0.007964380085468292,-0.03722608461976051,-0.0002332703879801556,-0.005793699063360691,0.008674532175064087,0.002670914400368929
24.368877411,-0.006081526633352041,-0.02935777418315411,0.0005202208994887769,-0.005403340328484774,0.008919036947190762,0.00287961820140481
24.378669739,-0.003104101167991757,-0.02308616414666176,0.0007524979882873595,-0.004956693854182959,0.009160866029560566,0.002909611212089658
24.388368607,0.0009770408505573869,-0.0179931353777647,0.0009303971310146153,-0.00470250565558672,0.009295590221881866,0.002895661164075136
24.398454666,0.004518834408372641,-0.01290198229253292,0.001149367075413465,-0.004669292829930782,0.00902838259935379,0.002854598453268409
24.408765793,0.006829367484897375,-0.007003099657595158,0.001193491043522954,-0.00472294632345438,0.008791388012468815,0.002733182162046432
24.418981552,0.008457732386887074,-0.0006515883142128587,0.001131257391534746,-0.004806679207831621,0.008863683789968491,0.002537192776799202
