Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773411669504377088,-3.458696028246777e-06,1.369154233543668e-05,0.001732340082526207,3.636860583355883e-06,-9.1179070295766e-05,-0.009968407452106476
1773411669514203904,3.471677416655439e-07,1.268943378818221e-05,0.001479742699302733,4.576933406497119e-06,-9.246731497114524e-05,-0.009958882816135883
1773411669523934720,-1.03625015981379e-05,-1.479840739193605e-05,0.001510461210273206,8.552045983378775e-06,4.193410131847486e-05,-0.009951816871762276
1773411669533653760,-5.547283308260376e-06,8.26792347652372e-06,0.001771917333826423,6.284263508860022e-05,5.039457755628973e-05,-0.009962379932403564
1773411669543987968,6.348528245325724e-07,1.738070750434417e-05,0.001964109484106302,2.563484486017842e-05,4.077903577126563e-05,-0.009977895766496658
1773411669554259200,-5.5144132602436e-06,2.422046236461028e-05,0.00219545466825366,4.296454062568955e-05,4.653665746445768e-05,-0.009958848357200623
1773411669564436480,1.580946445756126e-06,2.124196362274233e-05,0.002347673289477825,1.266718390979804e-05,2.101338941429276e-05,-0.009961537085473537
1773411669574520064,2.503335053916089e-05,-1.094407707569189e-05,0.002442842116579413,3.073502375627868e-05,1.725121364870574e-05,-0.009954111650586128
1773411669584509440,1.350443562841974e-05,6.811269031459233e-06,0.002431387547403574,4.801529030373786e-06,-2.003241388592869e-05,-0.009943366050720215
1773411669594404864,3.261826714151539e-05,-1.665009585849475e-05,0.002457972383126616,1.416733812220627e-05,-1.603530654392671e-05,-0.009966025128960609
1773411669604207104,4.364401775092119e-06,-2.175701411033515e-05,0.002470175735652447,-1.539357072033454e-05,-4.228910256642848e-05,-0.009965069591999054
1773411669613917696,-2.049645217994112e-06,6.680796104774345e-06,0.002365668537095189,-4.835196887142956e-05,-8.898452506400645e-05,-0.009974404238164425
1773411669623865088,1.490734211984091e-05,-3.341797082612175e-06,0.002150064799934626,-2.127320840372704e-05,-8.078432438196614e-05,-0.009952384978532791
1773411669634192640,2.285306982230395e-05,-4.329010891979124e-07,0.001951206242665648,-5.984659946989268e-05,-0.0001097135245800018,-0.009971517138183117
1773411669644420864,9.409282029082533e-06,-2.080501644741162e-06,0.001775595359504223,-1.763261934684124e-05,-6.165124796098098e-05,-0.009957452304661274
1773411669654551040,1.237451760971453e-05,2.330037932551932e-05,0.001517027849331498,-7.40246323402971e-05,-0.0001630745537113398,-0.00996392872184515
1773411669664590592,1.365334082947811e-05,1.515381791250547e-05,0.001148064504377544,-4.559951412375085e-05,-0.0001302428281633183,-0.00995858758687973
1773411669674538752,4.544578189324966e-07,5.255382802715758e-06,0.0009714541956782341,-1.470446841267403e-05,-6.041039523552172e-05,-0.009959413670003414
1773411669684393216,-5.036364655097714e-06,-7.540214141954493e-07,0.0009200333734042943,-6.690501322736964e-06,-2.763723750831559e-05,-0.009957879781723022
1773411669694155264,-2.228940275017521e-06,-7.556337550340686e-06,0.0008852174505591393,-2.640384809637908e-05,-6.694880721624941e-05,-0.009948375634849072
1773411669703825664,-4.001915840490256e-06,8.266667464340571e-06,0.0006905514164827764,-4.227544195600785e-05,-0.000106214291008655,-0.009960764087736607
1773411669714128896,-1.231454461958492e-05,2.609994226077106e-06,0.0004674388910643756,-4.976323180017062e-05,-0.0001137450453825295,-0.009963488206267357
1773411669724384256,-1.307426009589108e-05,1.611349262020667e-06,0.0002426831633783877,-3.563007339835167e-05,-9.094912093132734e-05,-0.00996626541018486
1773411669734567424,-1.028901806421345e-05,1.176598289021058e-05,8.932218042900786e-05,-2.111757021339145e-05,-7.332841050811112e-05,-0.009964829310774803
1773411669744655360,-1.463161333958851e-05,5.399712790676858e-06,7.46680734664551e-06,-3.732065351869096e-06,-3.060487506445497e-05,-0.009959811344742775
1773411669754644224,-3.331655307192705e-06,-2.178878020231423e-07,1.197176788991783e-05,-2.318366114195669e-06,-2.481965566403233e-05,-0.009959040209650993
1773411669764535040,-6.221122930583078e-06,1.046072839017143e-06,-2.106934061885113e-06,2.900916797443642e-06,-2.321411011507735e-05,-0.009963459335267544
1773411669774330112,-1.08529202407226e-05,-3.425848717597546e-06,7.691362043260597e-06,-7.028512754914118e-06,-2.625133674882818e-05,-0.009966428391635418
1773411669784027648,-1.285145026486134e-05,2.86527324533381e-06,2.445982545395964e-06,1.044287500917562e-06,-2.982437945320271e-05,-0.009957991540431976
1773411669793798912,1.390063459894009e-07,-2.466280648150132e-06,-1.773773874447215e-06,3.770956027437933e-07,-2.068170761049259e-05,-0.009952749125659466
1773411669804146944,-6.168022991914768e-06,-8.325255862473568e-07,2.68043504547677e-06,-9.71005192695884e-07,-3.425547402002849e-05,-0.009950770065188408
1773411669814347520,-1.24340085676522e-05,-7.936502015581937e-07,7.527542038587853e-06,7.841286787879653e-06,-2.592162854853086e-05,-0.009973932988941669
1773411669824498944,-6.595284048671601e-06,-1.431097189197317e-06,5.097196662973147e-06,-1.803497070795856e-06,-2.40156332438346e-05,-0.009956489317119122
1773411669834555136,-3.643057198132738e-06,-8.09192715678364e-06,1.4123962728263e-06,-2.435259375488386e-06,-2.313504955964163e-05,-0.009966876357793808
1773411669844515072,-1.520418663858436e-06,-5.710276582249207e-06,4.8569390855846e-06,-1.10620408122486e-06,-2.332531403226312e-05,-0.009970609098672867
1773411669854379520,3.086330025325879e-06,7.21672995496192e-06,2.573342726464034e-06,4.361561877885833e-06,-3.112011108896695e-05,-0.009943392127752304
1773411669864150784,-5.273054739518557e-06,-9.326600775239058e-06,1.657285110923112e-06,9.204656521433208e-07,-2.240707908640616e-05,-0.009983077645301819
1773411669873828608,1.96553969544766e-06,-6.364576620399021e-06,2.346032715649926e-06,-1.962549276868231e-06,-2.81307875411585e-05,-0.009933166205883026
1773411669883906560,-2.988955884575262e-06,2.017209908444784e-06,5.656862413161434e-06,-1.422722107236041e-06,-3.288483276264742e-05,-0.01001634448766708
1773411669894217216,-3.687684966280358e-06,-3.1090664833755e-06,3.626363422881695e-06,-4.104239906155271e-06,-4.625890869647264e-05,-0.009906272403895855
