Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773426550181103104,8.684612112119794e-06,-8.771668217377737e-05,-0.009962012059986591
1773426550191293184,-6.999716424616054e-05,-0.0001019703850033693,-0.009958046488463879
1773426550201443072,-0.0001368927914882079,-0.0001412000856362283,-0.009955346584320068
1773426550211503872,-0.0004329210496507585,-0.0003710240998771042,-0.009959299117326736
1773426550221470208,-0.000847280491143465,-0.000465180171886459,-0.009967109188437462
1773426550231341056,-0.0005400765803642571,-8.031832112465054e-05,-0.009952923282980919
1773426550241118464,-6.795431090722559e-06,0.0001617369707673788,-0.009950553998351097
1773426550250801920,-3.832054062513635e-05,0.0003467428905423731,-0.009964564815163612
1773426550260800512,0.0005389873404055834,0.0003240625665057451,-0.01001228392124176
1773426550271111168,0.0006739925011061132,0.0002710367261897773,-0.009956041350960732
1773426550281296640,0.0001472580624977127,4.153399640927091e-05,-0.009930230677127838
1773426550291416576,0.0002695861039683223,9.831289207795635e-05,-0.009953118860721588
1773426550301440768,4.023716610390693e-05,-4.26962214987725e-05,-0.009961060248315334
1773426550311368960,-3.628207923611626e-05,4.705625542555936e-05,-0.009955245070159435
1773426550321202944,-4.479345443542115e-05,0.0001317471615038812,-0.009960707277059555
1773426550330942720,2.16561365959933e-05,-8.570656791562214e-05,-0.009961308911442757
1773426550340588544,-3.727362491190434e-05,3.625101817306131e-05,-0.009957411326467991
1773426550350959872,-6.189478881424293e-05,3.271407695137896e-05,-0.009972915053367615
1773426550371391488,-0.0004170539032202214,1.685077768343035e-05,-0.009957173839211464
1773426550381470720,-0.0005688621895387769,-1.984905611607246e-05,-0.009948440827429295
1773426550391455744,-0.0006010217475704849,-6.811569619458169e-08,-0.01000605151057243
1773426550401351680,-0.0009102122276090086,3.436838596826419e-05,-0.009968412108719349
1773426550411151872,-0.0004584135895129293,-0.000236650841543451,-0.009913560934364796
1773426550420858368,-0.0003467262140475214,-0.0003014183603227139,-0.00996838416904211
1773426550430635776,4.437994357431307e-05,-0.0001127281720982864,-0.009964370168745518
1773426550440968960,0.000194371459656395,-5.541963037103415e-05,-0.009984301403164864
1773426550451207168,8.146790787577629e-05,2.69951815425884e-05,-0.009936880320310593
1773426550461349120,0.0004144325794186443,4.098526551388204e-05,-0.009939691983163357
1773426550471396096,0.0004526461998466402,0.0001388879609294236,-0.009979804046452045
1773426550481351424,0.0006177106406539679,7.172988989623263e-05,-0.009949038736522198
1773426550491218176,0.0009000458521768451,0.0002010655007325113,-0.009949961677193642
1773426550500990464,0.0005743892979808152,-0.0003407415351830423,-0.009991361759603024
1773426550510668800,0.0001574831549078226,-0.0004564283299259841,-0.009990516118705273
1773426550520818432,0.0004183801065664738,-9.032933303387836e-05,-0.01002422999590635
1773426550531113472,0.0002198371075792238,-4.556505882646888e-05,-0.009970789775252342
1773426550541312768,0.0002046783483820036,-0.0001522586535429582,-0.00978274829685688
1773426550551419648,-3.714400736498646e-05,0.0001690906647127122,-0.009968775324523449
1773426550561441536,3.764732900890522e-05,0.0001315786939812824,-0.009977729059755802
1773426550571368704,-2.254281753266696e-05,-9.638786650612019e-06,-0.009951149113476276
1773426550581201408,6.74115726724267e-05,-0.0001088438439182937,-0.009944007731974125
1773426550590940416,0.0001075056788977236,-0.0001361644390271977,-0.009984790347516537
1773426550600665856,-2.982254591188394e-05,7.406381337204948e-05,-0.009953539818525314
1773426550611019776,-5.311405857355567e-06,6.258158100536093e-05,-0.009966340847313404
1773426550621276160,-1.961404677786049e-06,8.036517101572827e-05,-0.009940503165125847
1773426550631405824,-1.822421495489834e-06,2.980326462420635e-05,-0.0099595682695508
1773426550641473792,5.58744750378537e-06,2.03454455913743e-05,-0.009953138418495655
1773426550651445504,3.610658950492507e-06,7.237365934997797e-05,-0.009946485050022602
1773426550661322240,-4.78551046398934e-05,0.0002813527244143188,-0.009888451546430588
1773426550671105792,1.63044187502237e-05,-8.964808512246236e-05,-0.009991184808313847
1773426550680795648,1.956584128492977e-05,-0.0001410306722391397,-0.009989969432353973
1773426550690799104,1.682273068581708e-05,-3.521029066178016e-05,-0.009970718994736671
1773426550701115136,2.300385631315294e-06,1.865957165136933e-05,-0.009948920458555222
1773426550711333888,4.556189378490672e-05,-0.0001376870641252026,-0.009993011131882668
1773426550721441280,-7.280375939444639e-06,5.331177817424759e-05,-0.009944625198841095
1773426550731464192,1.631446139072068e-05,1.570217864355072e-05,-0.009956882335245609
1773426550741396992,3.598605690058321e-05,4.248190634825733e-06,-0.009974484331905842
1773426550751246080,1.981296918529551e-05,1.558942130941432e-06,-0.009976597502827644
1773426550761001728,2.488044810888823e-05,-5.739612242905423e-05,-0.009973153471946716
1773426550770664704,-5.33966294824495e-06,-0.0002217929577454925,-0.00994538888335228
1773426550781041408,2.438485353195574e-05,-5.497007077792659e-05,-0.009957000613212585
1773426550791317504,1.860982229118235e-05,-6.823123840149492e-05,-0.00996503047645092
1773426550801499136,2.050744478765409e-05,-7.165520219132304e-05,-0.009952131658792496
1773426550811549184,1.346862427453743e-05,-6.501883763121441e-05,-0.009960399940609932
1773426550821534976,1.454885841667419e-05,-3.161995482514612e-05,-0.009965484030544758
1773426550831425024,9.692404091765638e-06,-3.428896525292657e-05,-0.009955981746315956
1773426550841219584,9.548024536343291e-06,-3.223864769097418e-05,-0.009965706616640091
1773426550850919424,9.907025741995312e-06,-4.827291195397265e-05,-0.009955998510122299
