FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,03/13/26 15:12:50.091623936
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773414774013867264,0.0001147389120887965,-5.355534449336119e-05,-0.009962869808077812,1.241276368091349e-05,-7.31362842998351e-06,-0.001116606988944113
1773414774023698944,9.723300900077447e-05,-0.0001154952478827909,-0.009962526150047779,1.398851418343838e-05,-2.481156798239681e-06,-0.001257391297258437
1773414774033517824,6.652392767136917e-05,-0.0001579535019118339,-0.009960133582353592,9.271007002098486e-06,-9.150734513241332e-06,-0.001615035580471158
1773414774043962368,3.606254904298112e-05,-6.96652423357591e-05,-0.009964200668036938,2.870862772397231e-05,-1.407422223564936e-05,-0.002237540436908603
1773414774054307072,5.047390004619956e-05,-6.14911550655961e-05,-0.009977100417017937,1.467155107093276e-05,-2.247859993076418e-05,-0.002775659086182714
1773414774064525312,0.0001442774228053167,-8.927284943638369e-05,-0.009948332794010639,-5.419121225713752e-05,-1.276315470022382e-05,-0.003176513826474547
1773414774074680832,0.0001076677071978338,9.442285954719409e-05,-0.009953067637979984,3.687519892991986e-06,-1.875023372122087e-05,-0.003158037783578038
1773414774084739840,0.00020568587933667,-2.545117240515538e-06,-0.009960717521607876,-5.901616987102898e-06,1.138321476901183e-05,-0.00237355986610055
1773414774094704896,0.000163944554515183,-0.0001179349565063603,-0.009957335889339447,1.980263550649397e-05,-5.934992714173859e-06,-0.001494688913226128
1773414774104576768,0.0001192887502838857,-9.285018313676119e-05,-0.00996788963675499,1.284341124119237e-05,-7.899238880781922e-07,-0.001254951232112944
1773414774114354432,8.833299216348678e-05,-0.0001810490357456729,-0.009957426227629185,1.366811648040311e-05,-2.682895456018741e-06,-0.001616864930838346
1773414774124525824,0.0001078980858437717,-2.325695822946727e-05,-0.009966389276087284,-9.515203601040412e-06,-1.248424359800993e-05,-0.002037774072960019
1773414774134922496,0.0001035201930790208,-3.777650999836624e-05,-0.009965062141418457,1.563003206683788e-05,6.858679171273252e-07,-0.001974561950191855
1773414774145218816,0.0001068046694854274,-0.0001579511153977364,-0.009956794790923595,-2.79734558716882e-06,7.881981218815781e-06,-0.002286165021359921
1773414774155372288,0.0001375207066303119,-8.094634540611878e-05,-0.009964560158550739,-1.323013475484913e-05,-1.921449802466668e-05,-0.002632308751344681
1773414774165473792,0.0001058350899256766,0.0001685783499851823,-0.009971181862056255,-1.005290232569678e-05,-8.142449132719776e-07,-0.002128155902028084
1773414774175478272,0.0001323014439549297,0.0001255386014236137,-0.009956781752407551,2.069939682769473e-06,-1.476036004532943e-06,-0.001252119312994182
1773414774185385728,8.612815145170316e-05,0.0001612710184417665,-0.009959341958165169,-3.333778977321344e-06,-4.819587957172189e-06,-0.0003797768440563232
1773414774195198720,0.0001062994706444442,-4.014700243715197e-05,-0.009958778508007526,2.263636815769132e-06,-2.581523858680157e-06,-9.762996342033148e-06
1773414774204916224,0.0001062905939761549,-3.346325320308097e-05,-0.009966963902115822,-3.484470653347671e-06,2.712697551032761e-06,-9.852543598753982e-07
1773414774215366656,0.0001062998344423249,-2.976732503157109e-05,-0.00995958037674427,3.343562866575667e-06,3.031233006822731e-07,1.983125912374817e-06
1773414774225714432,0.0001067733246600255,-4.118423021282069e-05,-0.009964228607714176,1.1542382708285e-05,-3.413115109651699e-06,1.866574393716292e-06
1773414774235964416,0.0001000637857941911,-4.208201426081359e-05,-0.00995743740350008,3.076928578593652e-07,6.275635769270593e-06,1.379872855977737e-07
1773414774246095616,0.0001080978399841115,-3.481197563814931e-05,-0.009967724792659283,1.911891160943924e-07,-2.639952754179831e-07,6.127505457698135e-06
1773414774256145408,0.0001043219599523582,-4.905120658804663e-05,-0.009964754804968834,5.360161139833508e-06,-4.500142040342325e-06,-2.205622564588339e-07
1773414774266097408,0.0001131611788878217,-3.639926217147149e-05,-0.009966280311346054,-2.355465994696715e-06,-1.268287064704055e-06,2.472731921443483e-06
1773414774275952640,0.0001082513117580675,-3.407258554943837e-05,-0.009964055381715298,-6.365278295561438e-06,7.489431936846813e-07,5.46129683698382e-08
1773414774285710592,0.0001036224857671186,-4.260029891156591e-05,-0.009958476759493351,-2.899822220570059e-06,-4.171089130977634e-06,2.851211547749699e-06
1773414774295628032,0.0001080473884940147,-3.88916814699769e-05,-0.009962378069758415,-1.051876438395993e-06,-3.836473297269549e-06,-1.906166630760708e-06
1773414774306036480,0.0001024372468236834,-3.633653250290081e-05,-0.009956071153283119,7.88052875577705e-06,-5.146683179191314e-06,5.758291194979392e-07
1773414774316348672,0.0001048253761837259,-3.767150701605715e-05,-0.009964157827198505,5.367619593243944e-08,-2.156067694158992e-06,1.723746663628845e-06
1773414774336648960,0.0001076766493497416,-4.515905675361864e-05,-0.009963804855942726,2.52596078098577e-06,-1.534527655167039e-06,2.353101308472105e-06
1773414774346672384,0.0001080455258488655,-3.829872730420902e-05,-0.009962344542145729,7.334391284530284e-06,5.747763225372182e-06,2.805082431223127e-06
1773414774356607744,0.000103586062323302,-3.634121821960434e-05,-0.009954248555004597,5.91005537842193e-08,-8.48470790515421e-06,2.952965587610379e-06
1773414774366448128,0.000104551414551679,-4.2130548536079e-05,-0.009960050694644451,-2.269237029395299e-06,-6.916553047631169e-06,-1.564664671604987e-06
1773414774376193792,0.0001039990456774831,-3.604136509238742e-05,-0.009960624389350414,4.150384029344423e-06,-7.218216524051968e-06,1.094269350687682e-07
1773414774386332160,0.0001067748235072941,-4.12917070207186e-05,-0.009964214637875557,4.645227818400599e-06,-8.078297469182871e-06,2.006561317102751e-06
