FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagZ,Timeseries,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledMagX,inertial-6286.188861:scaledMagY,inertial-6286.188861:scaledMagZ
31.035089493,-0.0002464925055392087,-0.005420431960374117,-0.9955106973648071,1.296942718909122e-05,-4.519930826063501e-06,1.731095949253358e-06,-1.035268724081106e-06,-2.866711292881519e-05,-0.004975427407771349,0.005,-0.3611280024051666,-0.04205206036567688,0.4020838141441345
31.040063858,-0.0004757853748742491,-0.005979904439300299,-0.995685338973999,6.639036655542441e-06,-2.199903065047693e-06,1.133784508056124e-06,-3.461684627836803e-06,-3.378279870958067e-05,-0.004979541059583426,0.005,-0.361406683921814,-0.04216412827372551,0.4021729230880737
31.045017242,-0.0005530744674615562,-0.0060398168861866,-0.9953824877738953,7.375232144113397e-06,2.990242137457244e-06,-1.039323365148448e-06,-3.47499508279725e-06,-3.010705586348195e-05,-0.004975203424692154,0.005,-0.3617865443229675,-0.04202312603592873,0.4016565382480621
31.049945831,-0.0001786682987585664,-0.00611985893920064,-0.996227502822876,5.361694093153346e-06,-2.295258354934049e-06,4.138282747589983e-06,1.806504428714106e-06,-3.095568172284402e-05,-0.004986369516700506,0.005,-0.3617222309112549,-0.04222798720002174,0.4026068449020386
31.054849625,-0.0004038002225570381,-0.006121942307800055,-0.9958698153495789,7.928560989967082e-06,4.045698005938902e-06,4.056351770032052e-07,-3.354692807988613e-06,-3.031464439118281e-05,-0.004977683071047068,0.005,-0.3620274066925049,-0.04235665500164032,0.402041882276535
31.059732437,-0.0003795548982452601,-0.006221105344593525,-0.996342658996582,2.505355951143429e-06,1.935417913045967e-06,-2.154467892978573e-06,-1.841639004851459e-06,-3.168953844578937e-05,-0.004984216298907995,0.005,-0.3619470298290253,-0.04215221107006073,0.4021511971950531
31.064590454,-0.0002518772962503135,-0.005925435107201338,-0.996366560459137,-3.805341975748888e-06,-1.145633916621591e-07,-1.684067115093058e-06,-5.019138598072459e-07,-2.809533725667279e-05,-0.004982002545148134,0.005,-0.3618514835834503,-0.04169823974370956,0.4018623828887939
31.069425583,-0.0003614950692281127,-0.005611325614154339,-0.995882511138916,-1.710979177005356e-06,-6.639414351639061e-08,-2.891277972594253e-06,-2.648229610713315e-06,-2.583042623882648e-05,-0.004976218566298485,0.005,-0.3614094853401184,-0.04183803126215935,0.4020920395851135
31.074237823,-6.356069206958637e-05,-0.005643239710479975,-0.9962291121482849,1.081638103528348e-07,4.02734912086089e-07,-1.856516178122547e-06,1.854473566709203e-06,-2.829231743817218e-05,-0.004983476363122463,0.005,-0.3616545498371124,-0.04197880998253822,0.4011207222938538
31.079362869,-0.0005027432925999165,-0.0058389687910676,-0.9954948425292969,3.630600758697256e-06,2.745084657362895e-06,-1.50525147546432e-06,-5.086871169623919e-06,-3.04670993500622e-05,-0.004973097238689661,0.005,-0.361544668674469,-0.04187163710594177,0.4019088447093964
31.084548950,-0.0003589193802326918,-0.005943364463746548,-0.9960004091262817,4.003295543952845e-06,2.746019390542642e-06,2.129520908056293e-06,-1.174710632767528e-06,-3.047570135095157e-05,-0.004982651211321354,0.005,-0.3615478277206421,-0.04203879460692406,0.4023748636245728
31.089708328,-0.0003947812656406313,-0.005639600567519665,-0.9959657192230225,2.702716301428154e-06,-3.314664581921534e-06,6.626990398217458e-06,-2.200744120273157e-06,-2.66289098362904e-05,-0.004980127792805433,0.005,-0.3613459467887878,-0.04216305911540985,0.4023955166339874
31.094844818,-0.0004367070505395532,-0.005534209776669741,-0.9955309629440308,-8.228382171182602e-07,-4.495821031014202e-07,-1.55765883391723e-06,-2.26527458835335e-06,-2.673445305845235e-05,-0.004974639974534512,0.005,-0.3611963093280792,-0.04181253165006638,0.4026568233966827
