FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:estAccelBiasY,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasZ,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasXUncert,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasYUncert,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasZUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasXUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasYUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasZUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasX,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasY,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasX,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasZ,Timeseries,,,,,,,
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:estAccelBiasY,inertial-6286.188861:estAccelBiasZ,inertial-6286.188861:estGyroBiasXUncert,inertial-6286.188861:estGyroBiasYUncert,inertial-6286.188861:estGyroBiasZUncert,inertial-6286.188861:estAccelBiasXUncert,inertial-6286.188861:estAccelBiasYUncert,inertial-6286.188861:estAccelBiasZUncert,inertial-6286.188861:estAccelBiasX,inertial-6286.188861:estGyroBiasY,inertial-6286.188861:estGyroBiasX,inertial-6286.188861:estGyroBiasZ,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ
0.179904506,2.817492713802494e-05,-2.109847264364362e-05,-0.004981519654393196,2.428876996418694e-06,8.875284152054519e-07,-3.058044967474416e-06,,,,,,,,,,,,,0.005,0.005512325558811426,-0.004522232804447412,-0.9963484406471252
0.184957698,2.925278931797948e-05,-2.257529376947787e-05,-0.004983976017683744,3.208125463061151e-06,1.857712277342216e-06,2.512947958166478e-06,,,,,,,,,,,,,0.005,0.005624403711408377,-0.004507144913077354,-0.9965341687202454
0.189986810,2.650601891218685e-05,-2.194380795117468e-05,-0.004976961761713028,3.943622175484052e-07,1.645168936192931e-06,-1.163840465778776e-06,,,,,,,,,,,,,0.005,0.005476568359881639,-0.004466292914003134,-0.9959648251533508
0.194991097,2.817934910126496e-05,-2.398269134573638e-05,-0.004978491459041834,4.750222615257371e-06,-9.532056566285974e-08,5.04276727042452e-07,,,,,,,,,,,,,0.005,0.005565663333982229,-0.004584661219269037,-0.9958977699279785
0.199971586,2.854617559933104e-05,-2.103220867866185e-05,-0.004982376471161842,-4.046744379593292e-06,9.089072250390018e-07,1.792103375919396e-06,,,,,,,,,,,,,0.005,0.005614500492811203,-0.004428686574101448,-0.9961658716201782
0.204927996,2.660371501406189e-05,-2.210485399700701e-05,-0.004977421369403601,3.797564431806677e-06,-1.396284233123879e-06,1.298019355999713e-06,,,,,,,,,,,,,0.005,0.005480896215885878,-0.004397136624902487,-0.9958621859550476
0.209859833,2.845450217137113e-05,-1.99233545572497e-05,-0.00498171616345644,1.947818873304641e-06,-3.849940185318701e-06,1.243705469278211e-06,,,,,,,,,,,,,0.005,0.005557408090680838,-0.004266161937266588,-0.9961017966270447
0.214768380,2.944314474007115e-05,-2.467635204084218e-05,-0.004978725221008062,2.275196038681315e-06,2.971158892250969e-06,-1.887559051283461e-06,,,,,,,,,,,,,0.005,0.005702592432498932,-0.004547029733657837,-0.9959508776664734
0.219652608,2.794237116177101e-05,-2.549366945459042e-05,-0.004978935234248638,4.305108632252086e-06,-7.617547453264706e-06,-3.391809002550872e-07,,,,,,,,,,,,,0.005,0.005658368580043316,-0.004822904244065285,-0.995858371257782
0.224514812,2.69535812549293e-05,-2.041924562945496e-05,-0.00497992429882288,4.542135229712585e-06,-4.763131471463566e-07,-2.811519834722276e-06,,,,,,,,,,,,,0.005,0.005557607859373093,-0.004470201209187508,-0.9959418773651123
0.229352698,2.601046799100004e-05,-2.25438670895528e-05,-0.004977887030690908,-4.00270300815464e-06,-4.876207526649523e-07,-3.124046088487376e-06,,,,,,,,,,,,,0.005,0.005374534986913204,-0.004487347323447466,-0.9957578778266907
0.234167546,2.701155244722031e-05,-1.980058004846796e-05,-0.004981530830264091,2.14518900065741e-06,-4.347817821326316e-07,4.411693907968584e-07,,,,,,,,,,,,,0.005,0.00540711497887969,-0.004231059923768044,-0.9960101842880249
0.238958851,2.663961822690908e-05,-2.318442238902207e-05,-0.004984934814274311,2.202961695729755e-06,-4.241575197738712e-07,-4.188043476460734e-06,,,,,,,,,,,,,0.005,0.005386266857385635,-0.004455936141312122,-0.9964262247085571
0.243726850,2.813770515786018e-05,-2.273235804750584e-05,-0.004983964841812849,-6.933447821211303e-06,4.160617663728772e-06,-6.607008913306345e-07,,,,,,,,,,,,,0.005,0.005452063400298357,-0.004491494502872229,-0.9965786933898926
0.248973817,2.791581209748983e-05,-2.326729736523703e-05,-0.004980847705155611,3.232649532947107e-06,-1.798045218492916e-06,-4.301280114304973e-06,,,,,,,,,,,,,0.005,0.005516174715012312,-0.004573667887598276,-0.9963581562042236
0.254195720,2.874792335205711e-05,-2.378381032031029e-05,-0.004980113822966814,3.572940613594255e-06,-3.653815028314966e-08,1.362831714146751e-08,,,,,,,,,,,,,0.005,0.005668626632541418,-0.004676259122788906,-0.9962443709373474
0.259392500,2.758699338301085e-05,-2.392419264651835e-05,-0.004981881938874722,2.457146820233902e-06,5.570075700234156e-06,-1.893347985060245e-06,,,,,,,,,,,,,0.005,0.005578881595283747,-0.00468864431604743,-0.9962816834449768
0.264563709,2.89423405774869e-05,-2.252045305795036e-05,-0.004978130105882883,-4.207653546473011e-06,-5.724899665437988e-07,2.45313913183054e-07,,,,,,,,,,,,,0.005,0.005685520824044943,-0.004610421136021614,-0.9960151314735413
0.269710600,2.904480606957804e-05,-2.508848410798237e-05,-0.004978555254638195,-1.427381789653737e-06,1.17772640351177e-06,-1.384510483148915e-06,,,,,,,,,,,,,0.005,0.005695735104382038,-0.004809684120118618,-0.9958646893501282
0.274832398,2.931155177066103e-05,-2.361586666665971e-05,-0.004977225326001644,4.769966380990809e-06,-1.340049493592232e-06,1.295654499244847e-07,,,,,,,,,,,,,0.005,0.00575721450150013,-0.004756133537739515,-0.9956865906715393
0.279929340,2.752493310254067e-05,-2.734043846430723e-05,-0.004980262834578753,-4.807432560482994e-06,5.991974489916174e-07,-1.721789288922082e-07,,,,,,,,,,,,,0.005,0.005617443937808275,-0.005072802770882845,-0.9958391785621643
0.285001993,2.785172546282411e-05,-2.696318915695883e-05,-0.004978759679943323,-5.032856279285625e-06,1.838108005358663e-06,-1.033174157782923e-06,,,,,,,,,,,,,0.005,0.005595461465418339,-0.00520751578733325,-0.9957526326179504
0.290052861,2.756877438514493e-05,-2.278733518323861e-05,-0.004976408090442419,-1.97101303456293e-06,4.400536454340909e-06,-1.667194851506792e-06,,,,,,,,,,,,,0.005,0.005581772420555353,-0.004909674637019634,-0.9954879283905029
0.295079410,2.884757122956216e-05,-2.300179767189547e-05,-0.004976565018296242,-9.457926921641047e-07,7.825523198334849e-07,6.461027624027338e-07,,,,,,,,,,,,,0.005,0.005664433818310499,-0.004778160713613033,-0.9954438209533691
0.300081909,2.522805516491644e-05,-2.400461562501732e-05,-0.004977278877049685,-1.69886925505125e-06,5.823128503834596e-06,6.621798547712388e-06,,,,,,,,,,,,,0.005,0.005367682315409184,-0.00479792570695281,-0.9954348206520081
0.305059850,2.748318001977168e-05,-2.529981611587573e-05,-0.004980993922799826,-2.045484052359825e-06,3.139229875159799e-06,2.894072167691775e-06,,,,,,,,,,,,,0.005,0.00543974107131362,-0.004889961332082748,-0.9957919120788574
