Time,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
34.036636353,,,,,,,,,,,0.07301217317581177,1,0.6460921764373779,1,-2.277539253234863,1
34.040885925,0.005,-0.0178725179284811,0.0672890841960907,-1.07978367805481,0.001070876372978091,-0.0004720471915788949,-0.004772541578859091,0.0009943605400621891,-0.0008467263542115688,-0.0003961662296205759,,,,,,
34.041648865,,,,,,,,,,,0.885777473449707,1,-0.03765073418617249,1,-0.7859905958175659,1
34.045936584,0.005,-0.1106016263365746,-0.007901526987552643,-0.9621264934539795,-0.0007076826877892017,-0.001143615343607962,-0.003943437244743109,-0.0002780819777399302,0.0002361903607379645,1.806990076147486e-05,,,,,,
34.046657562,,,,,,,,,,,0.1469471901655197,1,-0.9446696639060974,1,0.3678371608257294,1
34.050964355,0.005,0.03359231352806091,-0.01942099072039127,-1.031399846076965,-4.549937148112804e-05,0.001050548744387925,-0.005524058360606432,-0.001037369947880507,-0.0003799957339651883,0.0006314110360108316,,,,,,
34.051658630,,,,,,,,,,,0.0332983136177063,1,0.4660540521144867,1,-0.3114379942417145,1
34.055969238,0.005,0.06972776353359222,-0.1010842770338058,-1.239107728004456,-0.001062061754055321,0.0005947115132585168,-0.007396354340016842,-0.0003759598184842616,0.000288908020593226,0.0006194478482939303,,,,,,
34.056659698,,,,,,,,,,,-0.7674733996391296,1,0.8163172602653503,1,-2.348300933837891,1
34.060955048,0.005,0.06012480333447456,0.0899188444018364,-1.064366221427917,0.001563554629683495,0.0002230958489235491,-0.004542943555861712,0.0004653548821806908,-1.387274642183911e-05,7.528067362727597e-05,,,,,,
