ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
3BF2485C00000000,F89CA601,54DBC633,592D0000,12000000,4C000000,5D860000,0A110000,DBF5FFFF,E2150000,37FEFFFF
9EF2485C00000000,F49CA601,60DBC633,592D0000,12000000,4C000000,68860000,11110000,D0F5FFFF,FC150000,42FEFFFF
03F3485C00000000,F19CA601,6CDBC633,592D0000,12000000,4C000000,75860000,18110000,C6F5FFFF,15160000,4FFEFFFF
67F3485C00000000,EE9CA601,77DBC633,592D0000,12000000,4C000000,85860000,1E110000,BCF5FFFF,2E160000,5FFEFFFF
CAF3485C00000000,EB9CA601,82DBC633,592D0000,12000000,4C000000,97860000,23110000,B2F5FFFF,48160000,71FEFFFF
2FF4485C00000000,E89CA601,8DDBC633,592D0000,12000000,4C000000,AC860000,28110000,A8F5FFFF,61160000,86FEFFFF
93F4485C00000000,E59CA601,98DBC633,592D0000,12000000,4C000000,CA860000,2E110000,9EF5FFFF,7B160000,A4FEFFFF
F6F4485C00000000,E29CA601,A2DBC633,592D0000,12000000,4C000000,EE860000,32110000,95F5FFFF,94160000,C8FEFFFF
5DF5485C00000000,E09CA601,ACDBC633,592D0000,12000000,4C000000,1A870000,37110000,8CF5FFFF,AE160000,F4FEFFFF
BFF5485C00000000,DD9CA601,B5DBC633,592D0000,12000000,4C000000,4C870000,3B110000,84F5FFFF,C7160000,26FFFFFF
25F6485C00000000,DB9CA601,BDDBC633,592D0000,12000000,4C000000,7F870000,3F110000,7CF5FFFF,E0160000,59FFFFFF
88F6485C00000000,DA9CA601,C6DBC633,592D0000,12000000,4C000000,BC870000,43110000,74F5FFFF,FA160000,96FFFFFF
ECF6485C00000000,D89CA601,CEDBC633,592D0000,12000000,4C000000,FE870000,46110000,6CF5FFFF,14170000,D8FFFFFF
51F7485C00000000,D69CA601,D6DBC633,592D0000,12000000,4C000000,47880000,4A110000,66F5FFFF,2D170000,20000000
B4F7485C00000000,D59CA601,DCDBC633,592D0000,12000000,4C000000,99880000,4D110000,5FF5FFFF,47170000,72000000
19F8485C00000000,D49CA601,E3DBC633,592D0000,12000000,4C000000,EE880000,50110000,5AF5FFFF,60170000,C7000000
7DF8485C00000000,D39CA601,E9DBC633,592D0000,12000000,4C000000,48890000,53110000,55F5FFFF,7A170000,21010000
E0F8485C00000000,D29CA601,EEDBC633,592D0000,12000000,4C000000,A6890000,56110000,50F5FFFF,93170000,7F010000
46F9485C00000000,D29CA601,F3DBC633,592D0000,12000000,4C000000,0D8A0000,59110000,4CF5FFFF,AC170000,E6010000
